Enabler,Indicator,Indicator Weightage,Sub Indicator,Weightage,Question,Statement,Explanation
Self-Mastery,Emotional Management : The ability to deal with emotions before they become overwhelming and stop you from taking positive action.,20%,Emotional Awareness : Recognizing and identifying your emotions as they occur.,20%,"Can you describe a situation where you had to manage intense emotions at work and still take positive action? How did you handle your emotions, manage stress, and maintain resilience?",I have the ability to manage intense emotions at work and still take positive action.,"Explanation 1: I possess the ability to manage my emotions, even during challenging situations at work, and continue to take positive actions that contribute to my goals and well-being.
Explanation 2: I can effectively regulate my emotional responses in the workplace, ensuring that I remain composed and focused.
Explanation 3: My capacity to control and manage my emotions."
,,,Coping Strategies : Utilizing strategies to cope with emotional difficulties and setbacks.,20%,,,
,,,Resilience : Ability to recover quickly from emotional setbacks.,20%,,,
,,,Self-Reflection : The practice of reflecting on one’s emotional responses and triggers.,20%,,,
,,,Positive Action : Taking constructive steps even when emotions are intense.,20%,,,
,"Limiting Beliefs Management : The ability to consciously recognize, track, and manage negative and positive thoughts and proactively prevent these beliefs from limiting you.",20%,Belief Identification : Recognizing limiting beliefs and their origins.,20%,"Tell us about a time when you identified and overcame a limiting belief. How did you recognize it, monitor your thoughts, reframe the belief, use positive self-talk, and prevent it from limiting you again?",I have the ability to identify and overcome limiting beliefs.,"Explanation 1: I am skilled at identifying and overcoming limiting beliefs that could hinder my progress.
Explanation 2: I can recognize and challenge any limiting beliefs that arise, transforming them into empowering thoughts.
Explanation 3: My ability to detect and reframe limiting beliefs helps me stay focused on personal growth."
,,,Thought Monitoring : Tracking and analyzing recurring negative and positive thoughts.,20%,,,
,,,Reframing : Ability to change negative beliefs into positive ones.,25%,,,
,,,Proactive Prevention : Steps taken to prevent limiting beliefs from affecting actions.,15%,,,
,,,Gathering Evidence : Seeking evidence that contradicts limiting beliefs and supports alternative empowering beliefs.,20%,,,
,"Self-Awareness : The ability to identify and focus on your actions, values, needs, wants, strengths, and weaknesses as your internal standards and align with your self-esteem.",20%,Values Identification : Understanding and defining personal values.,20%,"Share an instance where you reflected on your values, needs, and strengths. How did this reflection help you align your self-esteem with your internal standards and guide your actions?","I have the ability to reflect on my values, needs, strengths, and align them with my actions.","Explanation 1: I have a deep understanding of my values, needs, and strengths, which I align with my actions.
Explanation 2: My self-awareness allows me to reflect on what truly matters to me, helping me to align decisions and actions.
Explanation 3: I consistently reflect on my personal attributes, ensuring harmony between actions and values."
,,,Needs and Wants : Clarity on personal needs and desires.,20%,,,
,,,Strengths and Weaknesses : Accurate assessment of personal strengths and areas for improvement.,25%,,,
,,,Self-Esteem Alignment : Consistency between self-esteem and internal standards.,20%,,,
,,,Reflective Practice : Regular self-reflection and adjustment based on insights.,15%,,,
,"Mindfulness : The ability to be fully present, aware of your thoughts, feelings, body sensations, and surroundings, and maintaining an open mindset.",20%,Present Moment Awareness : Staying focused on the current moment.,20%,"Describe a time when you practiced mindfulness at work. How did you stay present, aware of your thoughts and feelings, and maintain a non-judgmental attitude?",Rate yourself on your ability to practice mindfulness at work.,"Explanation 1: I practice mindfulness at work, staying present and fully engaged with tasks, enhancing my focus.
Explanation 2: My mindfulness practice helps me maintain awareness of my thoughts and feelings.
Explanation 3: I engage in mindfulness exercises to manage stress and stay productive."
,,,Body Awareness : Recognizing physical sensations and responses.,20%,,,
,,,Thought Observation without Judgment : Observing thoughts without judgment.,25%,,,
,,,Emotional Awareness : Recognizing and understanding emotional responses.,20%,,,
,,,Acceptance : Accepting emotions and maintaining an open mindset without trying to change or suppress them.,15%,,,
,"Biased-Free Behaviour : The ability to ensure your behavior does not exclude, demean, or offend groups in society, and being open-minded, with curiosity and cultural competence.",20%,Inclusivity : Ensuring actions and decisions are inclusive.,20%,Can you provide an example of how you ensured your behavior was inclusive and respectful in a diverse work environment? How did you demonstrate cultural competence and manage your ego?,Rate yourself on your ability to maintain inclusive and respectful behavior in a diverse work environment.,"Explanation 1: I maintain behavior that is inclusive and respectful, ensuring that I value diversity.
Explanation 2: My behavior is free from bias, striving to be inclusive in all interactions.
Explanation 3: I actively ensure my actions are culturally competent and free from bias."
,,,Cultural Competence : Understanding and respecting cultural differences.,20%,,,
,,,Open-Mindedness : Being receptive to new and different ideas.,25%,,,
,,,Ego Management : Keeping ego in check to avoid biased decisions.,20%,,,
,,,Avoiding Stereotypes : Steering clear of language that reinforces stereotypes or marginalizes groups.,15%,,,
Smarter Leadership,Systemic Thinking : The ability to have a comprehensive analytical approach to understand how different elements interact with one another to create the best processes for success.,20%,Holistic Understanding : Ability to see the big picture and understand the interconnections within the system.,25%,"Describe a complex project you led. How did you use systemic thinking to understand the interconnections, analyze parts, integrate elements, improve processes, and anticipate future trends?",Rate yourself on your ability to apply systemic thinking in leading complex projects.,"Explanation 1: I apply systemic thinking to understand and manage complex projects, recognizing interconnections between elements.
Explanation 2: I can see the big picture, understanding how various parts interact and affect each other.
Explanation 3: I use systemic thinking to integrate different components into a cohesive strategy."
,,,Analytical Skills : Ability to break down complex systems into manageable parts.,20%,,,
,,,Integration : Ability to integrate different elements into a cohesive whole.,20%,,,
,,,Process Improvement : Identifying and implementing improvements in processes.,20%,,,
,,,Future Orientation : Anticipating future trends and impacts.,15%,,,
,"Critical Problem Solving : The ability to identify problems, brainstorm, analyze, synthesize, and evaluate information to implement the best solutions.",20%,Problem Identification : Recognizing and defining problems accurately.,20%,"Tell us about a time you solved a critical problem. How did you identify the problem, brainstorm solutions, analyze and synthesize information, and implement the best solution?",Rate yourself on your ability to solve critical problems effectively.,"Explanation 1: I excel in identifying critical problems and implementing solutions using systematic approaches.
Explanation 2: My problem-solving skills involve breaking down complex issues and analyzing each part.
Explanation 3: I use a combination of brainstorming and analysis to arrive at practical solutions."
,,,Brainstorming : Generating a wide range of ideas and solutions.,20%,,,
,,,Analysis : Breaking down problems and analyzing information.,25%,,,
,,,Synthesis : Combining different ideas to form a solution.,20%,,,
,,,Implementation : Effectively putting solutions into practice.,15%,,,
,"Strategic Decision Making : The ability to make intentional, well-considered decisions that align with organizational goals and create opportunities.",20%,Goal Alignment : Ensuring decisions align with organizational goals.,20%,"Can you share an example of a strategic decision you made? How did you align it with goals, identify critical factors, assess risks, create opportunities, and implement the decision?",Rate yourself on your ability to make strategic decisions.,"Explanation 1: I make strategic decisions that align with organizational goals, considering risks and opportunities.
Explanation 2: My decision-making process evaluates all relevant factors to support long-term objectives.
Explanation 3: I align my actions with overarching goals and assess risks and opportunities before making decisions."
,,,Critical Factor Identification : Recognizing the key elements that influence decisions.,15%,,,
,,,Risk Assessment : Evaluating potential risks and benefits.,25%,,,
,,,Opportunity Creation : Identifying and leveraging new opportunities.,20%,,,
,,,Decision Implementation : Executing decisions effectively.,20%,,,
